slnoskm,Status,Address,Street_only, lat,long,Beds,bathsfull,bathshalf,bathstotal,sqft,garages,roof_Built-Up,roof_Concrete,roof_Shake,roof_Shingle,roof_Slate,roof_Tile,roof_Other,lotsqft,yrblt,pool_Community,pool_Private,pool_None,spa,subdivn,adom_agentdaysonmarket,cdom_cumuldaysmls,listprice,lppersqft,PendingDate,pd_dom,pd_moy,pd_year,sppersqft,datesold,ds_dom,ds_moy,ds_year,splsale,splsal_Auction,splsal_shortsale,splsale_BankOwnedREO,pricesold,days_on_market
22,Sold,17629 NATHANS DR,NATHANS DR,28.13050295,-82.34236272,3,2,0,2,1816,2,0,0,1,1,0,0,0,5500,1996,0,0,1,,HUNTERS GREEN PH 2,7,7,190000,104.63,8/30/2017,30,8,2017,105.45,9/21/2017,21,9,2017,Bank Owned/REO,0,0,1,191500,22
23,Sold,9422  WILLOW COVE CT ,WILLOW COVE CT,28.12791625,-82.33317329,3,2,0,2,1654,2,0,0,0,1,0,0,0,4500,1993,0,0,1,,HUNTERS GREEN,73,73,189900,114.81,6/26/2015,26,6,2015,116.66,9/4/2015,4,9,2015,None,0,0,0,192950,70
24,Sold,9325 HUNTERS PARK WAY,HUNTERS PARK WAY,28.13741804,-82.33290402,3,2,0,2,1838,2,0,0,0,1,0,0,0,5950,1996,0,0,1,,HUNTERS GREEN PRCL 20,106,106,199700,108.65,11/11/2016,11,11,2016,105.01,12/17/2016,17,12,2016,None,0,0,0,193000,36
25,Sold,9320 HUNTINGTON PARK WAY,HUNTINGTON PARK WAY,28.13815079,-82.33164536,4,2,0,2,1665,2,0,0,0,1,0,0,0,5500,1996,1,0,0,,HUNTERS GREEN PRCL 20,43,43,200000,120.12,3/5/2016,5,3,2016,115.92,4/12/2016,12,4,2016,None,0,0,0,193000,38
26,Sold,9333  HUNTINGTON PARK WAY ,HUNTINGTON PARK WAY,28.1378754,-82.33158566,3,2,0,2,1838,2,0,0,0,1,0,0,0,6150,1996,0,1,0,TRUE,HUNTERS GREEN,64,64,201000,109.36,10/17/2015,17,10,2015,105.01,11/25/2015,25,11,2015,"Auction, Bank Owned/REO",1,0,1,193000,39
27,Sold,17614  NATHANS DR ,NATHANS DR,28.13086181,-82.34234698,3,2,0,2,1835,2,0,0,0,1,0,0,0,8321,1995,0,0,1,,HUNTERS GREEN PH 2,139,139,199000,108.45,7/4/2015,4,7,2015,106.27,7/30/2015,30,7,2015,None,0,0,0,195000,26
28,Sold,18120 ASHTON PARK WAY,ASHTON PARK WAY,28.13824441,-82.33344566,3,2,0,2,1483,2,0,0,0,1,0,0,0,6160,1996,0,0,1,,HUNTERS GREEN PRCL 20,1,1,200000,134.86,3/7/2017,7,3,2017,133.51,5/12/2017,12,5,2017,None,0,0,0,198000,66
29,Sold,17741 ESPRIT DR,ESPRIT DR,28.12875917,-82.34037228,2,2,0,2,1421,2,0,0,0,1,0,0,0,6720,1992,0,0,1,,HUNTERS GREEN PH 1B 02,5,5,200000,140.75,3/20/2016,20,3,2016,140.75,6/14/2016,14,6,2016,None,0,0,0,200000,86
30,Sold,9324  HUNTINGTON PARK WAY,HUNTINGTON PARK WAY,28.13809994,-82.33160506,3,2,0,2,1598,2,0,0,0,1,0,0,0,5500,1997,0,0,1,,HUNTERS GREEN,23,23,210000,131.41,4/15/2015,15,4,2015,125.16,5/29/2015,29,5,2015,None,0,0,0,200000,44
31,Sold,9092  QUAIL CREEK DR ,QUAIL CREEK DR,28.12876407,-82.34887408,3,2,1,3,2198,2,0,0,0,1,0,0,0,7380,1989,0,0,1,,HUNTERS GREEN,159,159,220000,100.09,2/5/2015,5,2,2015,91.9,4/1/2015,1,4,2015,None,0,0,0,202000,55
32,Sold,9202 FESTIVAL CT,FESTIVAL CT,28.13011178,-82.34098754,3,2,1,3,1755,2,0,0,0,1,0,0,0,6205,1991,0,0,1,,HUNTERS GREEN PH 1A,167,167,210000,119.66,10/17/2016,17,10,2016,115.67,11/16/2016,16,11,2016,None,0,0,0,203000,30
33,Sold,9305  HUNTINGTON PARK WAY ,HUNTINGTON PARK WAY,28.13851277,-82.33207565,3,2,0,2,1510,2,0,0,0,1,0,0,0,5500,1996,1,0,0,,HUNTERS GREEN,26,26,209900,139.01,2/19/2016,19,2,2016,134.44,3/28/2016,28,3,2016,None,0,0,0,203000,38
34,Sold,9203  JUBILEE CT ,JUBILEE CT,28.12863342,-82.34169802,3,2,1,3,2094,2,0,0,0,1,0,0,0,5500,1992,0,0,1,,HUNTERS GREEN PH 1B 02,72,72,199900,95.46,3/31/2016,31,3,2016,97.9,6/2/2016,2,6,2016,Bank Owned/REO,0,0,1,205000,63
35,Sold,17704  HAMPSHIRE OAK DR ,HAMPSHIRE OAK DR,28.12804261,-82.33700028,3,2,0,2,1793,2,0,0,0,1,0,0,0,7150,1995,0,0,1,,HUNTERS GREEN,124,124,220000,122.7,7/12/2015,12,7,2015,114.33,8/14/2015,14,8,2015,None,0,0,0,205000,33
36,Sold,9305  HUNTERS PARK WAY ,HUNTERS PARK WAY,28.13799176,-82.33383407,3,2,0,2,1840,2,0,0,0,1,0,0,0,5400,1997,0,0,1,,HUNTERS GREEN,13,13,219900,119.51,3/14/2015,14,3,2015,111.41,4/3/2015,3,4,2015,None,0,0,0,205000,20
37,Sold,18114  ASHTON PARK WAY ,ASHTON PARK WAY,28.13819487,-82.33352942,3,2,0,2,1598,2,0,0,0,1,0,0,0,5550,1997,1,0,0,,HUNTERS GREEN,13,13,214900,134.48,12/1/2015,1,12,2015,128.6,1/6/2016,6,1,2016,None,0,0,0,205500,36
38,Sold,9320 HUNTINGTON PARK WAY,HUNTINGTON PARK WAY,28.13815079,-82.33164536,4,2,0,2,1665,2,0,0,0,1,0,0,0,5500,1996,1,0,0,,HUNTERS GREEN PRCL 20,5,5,199900,120.06,3/23/2017,23,3,2017,124.92,5/19/2017,19,5,2017,None,0,0,0,208000,57
39,Sold,17626 ESPRIT DR,ESPRIT DR,28.12989144,-82.34109169,3,2,1,3,1975,2,0,0,0,1,0,0,0,4845,1991,0,0,1,,HUNTERS GREEN PH 1A,6,6,199000,100.76,4/11/2017,11,4,2017,106.33,5/26/2017,26,5,2017,None,0,0,0,210000,45
40,Sold,17722 ESPRIT DR,ESPRIT DR,28.12789488,-82.34105052,3,2,0,2,1538,2,0,0,0,1,0,0,0,4845,1995,1,0,0,,HUNTERS GREEN PH 1B 02,4,4,215000,139.79,3/18/2017,18,3,2017,136.54,4/28/2017,28,4,2017,None,0,0,0,210000,41
41,Sold,17635 ESPRIT DR,ESPRIT DR,28.12878502,-82.34177843,3,2,1,3,1695,2,0,0,0,1,0,0,0,5301,1993,1,0,0,,HUNTERS GREEN PH 1B 02,5,5,210000,123.89,11/21/2016,21,11,2016,123.89,12/29/2016,29,12,2016,None,0,0,0,210000,38
42,Sold,17617 NATHANS DR,NATHANS DR,28.13091732,-82.34248683,3,2,0,2,1816,2,0,0,0,0,0,1,0,5500,1996,0,0,1,,HUNTERS GREEN,199,199,224900,123.84,11/4/2016,4,11,2016,115.64,11/21/2016,21,11,2016,None,0,0,0,210000,17
43,Sold,9302 HUNTINGTON PARK WAY,HUNTINGTON PARK WAY,28.13900308,-82.33225853,3,2,0,2,1578,2,0,0,0,1,0,0,0,7810,1996,0,0,1,,HUNTERS GREEN PRCL 20,5,5,209900,133.02,2/16/2016,16,2,2016,133.08,3/31/2016,31,3,2016,None,0,0,0,210000,44
44,Sold,9324  HUNTINGTON PARK WAY ,HUNTINGTON PARK WAY,28.13809994,-82.33160506,3,2,0,2,1598,2,0,0,0,1,0,0,0,5500,1997,0,0,1,,HUNTERS GREEN,4,4,214900,134.48,1/11/2016,11,1,2016,131.41,2/25/2016,25,2,2016,None,0,0,0,210000,45
45,Sold,9310  HUNTINGTON PARK WAY ,HUNTINGTON PARK WAY,28.13857578,-82.33196711,3,2,0,2,1844,2,0,0,0,1,0,0,0,5500,1996,1,0,0,,HUNTERS GREEN,14,14,219000,118.76,9/3/2015,3,9,2015,113.88,9/30/2015,30,9,2015,None,0,0,0,210000,27
46,Sold,17641  NATHANS DR ,NATHANS DR,28.13021435,-82.34209957,3,2,0,2,1835,2,0,0,0,0,0,1,0,7100,1995,1,0,0,,HUNTERS GREEN PRCL 17A PH 2,54,54,217900,118.75,5/18/2015,18,5,2015,114.44,6/30/2015,30,6,2015,None,0,0,0,210000,43
47,Sold,9421  WILLOW COVE CT ,WILLOW COVE CT,28.12780148,-82.33321364,3,2,1,3,1922,2,1,0,0,0,0,0,0,4750,1993,0,0,1,,HUNTERS GREEN PH 1,60,60,211000,109.78,9/14/2015,14,9,2015,109.78,10/21/2015,21,10,2015,None,0,0,0,211000,37
48,Sold,9312  HUNTINGTON PARK WAY ,HUNTINGTON PARK WAY,28.13843546,-82.33186235,3,2,0,2,1856,2,0,0,0,1,0,0,0,5500,1997,0,0,1,,HUNTERS GREEN,8,8,219900,118.48,11/20/2015,20,11,2015,114.44,1/6/2016,6,1,2016,None,0,0,0,212400,47
49,Sold,9408  OAK MEADOW CT ,OAK MEADOW CT,28.12856208,-82.33315591,4,2,1,3,2286,2,0,0,0,1,0,0,0,4500,1994,0,1,0,,HUNTERS GREEN PH 2,43,43,219900,96.19,7/16/2015,16,7,2015,92.96,8/17/2015,17,8,2015,Bank Owned/REO,0,0,1,212500,32
50,Sold,9202  CELEBRATION CT ,CELEBRATION CT,28.12903065,-82.34034002,3,2,1,3,2057,2,0,0,0,1,0,0,0,5888,1994,0,1,0,,HUNTERS GREEN PH 1B 02,21,73,214900,104.47,1/8/2016,8,1,2016,104.04,2/18/2016,18,2,2016,Bank Owned/REO,0,0,1,214000,41
51,Sold,17717 NATHANS DR,NATHANS DR,28.12799664,-82.34345566,3,2,0,2,1604,2,0,0,0,0,0,1,0,11792,1992,0,0,1,,HUNTERS GREEN PRCL 17A PH 1,58,58,228900,142.71,3/11/2018,11,3,2018,134.04,4/12/2018,12,4,2018,None,0,0,0,215000,32
52,Sold,9302 BRAEMAR DR,BRAEMAR DR,28.13047605,-82.33606156,4,2,0,2,1608,2,0,0,0,1,0,0,0,7410,1995,1,0,0,,HUNTERS GREEN PH 2A,37,37,224000,139.3,1/6/2018,6,1,2018,133.71,1/27/2018,27,1,2018,None,0,0,0,215000,21
53,Sold,17631  ESPRIT DR ,ESPRIT DR,28.12910619,-82.34164823,3,2,1,3,1975,2,0,0,0,1,0,0,0,5580,1991,0,0,1,,HUNTERS GREEN PH 1A,38,38,220000,111.39,9/1/2015,1,9,2015,108.86,10/15/2015,15,10,2015,None,0,0,0,215000,44
54,Sold,9337  DEER CREEK DR ,DEER CREEK DR,28.13367191,-82.33832836,4,3,0,3,2628,3,0,0,0,1,0,0,0,10625,1997,0,1,0,,HUNTERS GREEN PH 2,17,17,196900,74.92,5/7/2015,7,5,2015,81.81,6/19/2015,19,6,2015,Bank Owned/REO,0,0,1,215000,43
55,Sold,17763  ESPRIT DR ,ESPRIT DR,28.12970533,-82.33986188,4,2,1,3,2391,2,0,0,0,1,0,0,0,4845,1994,0,0,1,,HUNTERS GREEN PH 1B 02,123,123,219900,91.97,5/8/2015,8,5,2015,89.92,6/11/2015,11,6,2015,None,0,0,0,215000,34
56,Sold,18102 ASHTON PARK WAY,ASHTON PARK WAY,28.13809579,-82.33369694,3,2,0,2,1856,2,0,0,0,1,0,0,0,7540,1997,1,0,0,,HUNTERS GREEN,53,374,229900,123.87,10/1/2017,1,10,2017,116.11,11/8/2017,8,11,2017,None,0,0,0,215500,38
57,Sold,9319 WELLINGTON PARK CIR,WELLINGTON PARK CIR,28.13232374,-82.33659951,4,2,0,2,2401,2,0,0,0,0,0,1,0,12978,1993,0,1,0,,HUNTERS GREEN PH 1,31,31,255000,106.21,12/13/2017,13,12,2017,89.88,1/18/2018,18,1,2018,"Auction, Bank Owned/REO",1,0,1,215800,36
58,Sold,17730  NATHANS DR ,NATHANS DR,28.12841858,-82.34385467,3,2,0,2,1957,2,0,0,0,1,0,0,0,6667,1992,0,1,0,,HUNTERS GREEN PH 1,56,56,225000,114.97,4/2/2015,2,4,2015,110.37,5/15/2015,15,5,2015,None,0,0,0,216000,43
59,Sold,17704 HAMPSHIRE OAK DR,HAMPSHIRE OAK DR,28.12804261,-82.33700028,3,2,0,2,1941,2,0,0,0,1,0,0,0,7150,1995,0,0,1,,HUNTERS GREEN,96,96,224000,115.4,7/31/2016,31,7,2016,111.8,8/31/2016,31,8,2016,None,0,0,0,217000,31
60,Sold,9302 KNIGHTSBRIDGE CT,KNIGHTSBRIDGE CT,28.13074908,-82.33896579,3,2,0,2,1771,2,0,0,0,1,0,0,0,8960,1992,0,1,0,,HUNTERS GREEN,128,128,215000,121.4,8/2/2016,2,8,2016,122.53,9/20/2016,20,9,2016,None,0,0,0,217000,49
61,Sold,17629 ESPRIT DR,ESPRIT DR,28.12926678,-82.34158312,3,2,0,2,1401,2,0,0,0,1,0,0,0,5580,1992,0,0,1,,HUNTERS GREEN PRCL 17B PH 1A,9,9,217900,155.53,5/5/2018,5,5,2018,155.53,6/7/2018,7,6,2018,None,0,0,0,217900,33
62,Sold,17608 ESPRIT DR,ESPRIT DR,28.1306987,-82.34087998,3,2,0,2,1420,2,0,0,0,1,0,0,0,4845,1991,0,0,1,,HUNTERS GREEN PH 1A,5,5,229900,161.9,8/8/2018,8,8,2018,153.52,9/17/2018,17,9,2018,None,0,0,0,218000,40
63,Sold,17633 ESPRIT DR,ESPRIT DR,28.12894561,-82.34171333,3,2,0,2,1420,2,0,0,0,1,0,0,0,5766,1991,0,0,1,,HUNTERS GREEN PH 1A,8,8,218000,153.52,3/16/2018,16,3,2018,153.52,4/16/2018,16,4,2018,None,0,0,0,218000,31
64,Sold,17754  ESPRIT DR ,ESPRIT DR,28.12920625,-82.34017354,3,2,1,3,2019,2,0,0,0,1,0,0,0,7140,1992,0,1,0,,HUNTERS GREEN PH 1B 02,225,225,224000,110.95,1/16/2015,16,1,2015,107.97,2/20/2015,20,2,2015,None,0,0,0,218000,35
65,Sold,17707 ESPRIT DR,ESPRIT DR,28.12782484,-82.34031117,3,2,0,2,1507,2,0,0,0,1,0,0,0,5723,1993,0,0,1,,HUNTERS GREEN PRCL 17B PH 1B,14,14,219000,145.32,5/30/2019,30,5,2019,145.32,6/28/2019,28,6,2019,Bank Owned/REO,0,0,1,219000,29
66,Sold,17771  ESPRIT DR ,ESPRIT DR,28.13011795,-82.33986355,4,3,0,3,1973,2,0,0,0,1,0,0,0,7670,1992,0,0,1,,HUNTERS GREEN PH 1A,1,1,219500,111.25,10/8/2015,8,10,2015,111,11/19/2015,19,11,2015,None,0,0,0,219000,42
67,Sold,17639  NATHANS DR ,NATHANS DR,28.13025558,-82.34208702,3,2,0,2,1959,2,0,0,0,0,0,1,0,8050,1995,0,1,0,TRUE,HUNTERS GREEN PH 2,135,135,219900,112.25,1/18/2015,18,1,2015,111.79,2/20/2015,20,2,2015,None,0,0,0,219000,33
68,Sold,9319 HUNTINGTON PARK WAY,HUNTINGTON PARK WAY,28.13804123,-82.33171708,3,2,0,2,1838,2,0,0,0,1,0,0,0,6435,1996,0,0,1,,HUNTERS GREEN PRCL 20,220,220,225000,122.42,6/22/2017,22,6,2017,119.7,7/21/2017,21,7,2017,None,0,0,0,220000,29
69,Sold,17631 NATHANS DR,NATHANS DR,28.13045219,-82.34229652,3,2,0,2,1815,2,0,0,0,0,0,1,0,5850,1996,0,0,1,,HUNTERS GREEN PARCEL 17A PH 2,0,0,230000,126.72,7/9/2016,9,7,2016,121.21,12/6/2016,6,12,2016,None,0,0,0,220000,150
70,Sold,9412 OAK MEADOW CT,OAK MEADOW CT,28.12856208,-82.33291978,3,2,1,3,1880,2,0,0,0,1,0,0,0,6300,1993,1,0,0,,HUNTERS GREEN PH 1,11,11,220000,117.02,5/24/2016,24,5,2016,117.02,8/1/2016,1,8,2016,None,0,0,0,220000,69
71,Sold,9405  WILLOW COVE CT ,WILLOW COVE CT,28.1278001,-82.33354141,3,2,1,3,2022,2,0,0,0,1,0,0,0,4748,1994,1,0,0,,HUNTERS GREEN,7,7,214999,106.33,4/14/2015,14,4,2015,109.3,6/1/2015,1,6,2015,None,0,0,0,221000,48
72,Sold,17737 ESPRIT DR,ESPRIT DR,28.12867002,-82.34040694,3,2,1,3,1884,2,0,0,0,1,0,0,0,6741,1992,1,0,0,,HUNTERS GREEN PRCL 17B PH 1B,71,71,229900,122.03,9/28/2016,28,9,2016,117.83,10/7/2016,7,10,2016,None,0,0,0,222000,9
73,Sold,9317 HUNTINGTON PARK WAY,HUNTINGTON PARK WAY,28.13806492,-82.33173585,3,2,0,2,1838,2,0,0,0,1,0,0,0,6550,1996,0,0,1,,HUNTERS GREEN,14,14,229999,125.14,5/22/2019,22,5,2019,121.87,6/24/2019,24,6,2019,None,0,0,0,224000,33
74,Sold,17701 PARKWAY GREEN LN,PARKWAY GREEN LN,28.12855779,-82.33243114,3,2,1,3,2022,2,0,0,0,1,0,0,0,6300,1992,0,1,0,,HUNTERS GREEN PRCL 22A PH 1,79,79,224000,110.78,11/28/2016,28,11,2016,110.78,1/16/2017,16,1,2017,None,0,0,0,224000,49
75,Sold,9031  QUAIL CREEK DR ,QUAIL CREEK DR,28.12919522,-82.34949459,3,2,0,2,2244,2,0,0,0,1,0,0,0,9060,1991,0,1,0,,HUNTERS GREEN PARCEL 7,16,16,234900,104.68,5/28/2015,28,5,2015,99.82,7/2/2015,2,7,2015,None,0,0,0,224000,35
76,Sold,17628  NATHANS DR ,NATHANS DR,28.13058943,-82.34227747,3,2,0,2,1836,2,0,0,0,0,0,1,0,6490,1994,1,0,0,,HUNTERS GREEN PRCL 17A PH 2,17,122,224294,122.16,12/21/2015,21,12,2015,122.28,2/4/2016,4,2,2016,None,0,0,0,224500,45
77,Sold,17726  NATHANS DR ,NATHANS DR,28.12828027,-82.34377603,3,2,0,2,1815,2,0,0,0,0,0,1,0,5500,1995,1,0,0,,HUNTERS GREEN PRCL 17A PH 1,130,130,224900,123.91,4/1/2016,1,4,2016,123.91,4/25/2016,25,4,2016,None,0,0,0,224900,24
78,Sold,9205 JUBILEE CT,JUBILEE CT,28.1286305,-82.34169044,3,2,1,3,1695,2,0,0,0,1,0,0,0,7215,1993,0,1,0,TRUE,HUNTERS GREEN PH 1B 02,57,57,234900,138.58,12/7/2017,7,12,2017,132.74,12/18/2017,18,12,2017,Bank Owned/REO,0,0,1,225000,11
79,Sold,17731  HAMPSHIRE OAK DR ,HAMPSHIRE OAK DR,28.13078251,-82.33695052,3,2,0,2,2079,3,0,0,0,1,0,0,0,7590,1992,0,1,0,,HUNTERS GREEN PH 1,32,32,227000,109.19,9/29/2015,29,9,2015,108.23,10/27/2015,27,10,2015,None,0,0,0,225000,28
80,Sold,9411 AZALEA RIDGE CIR,AZALEA RIDGE CIR,28.13098825,-82.32881182,4,2,0,2,2022,2,0,0,0,1,0,0,0,7150,1997,1,0,0,,HUNTERS GREEN PH 2,22,22,233000,115.23,4/18/2016,18,4,2016,112.02,6/6/2016,6,6,2016,None,0,0,0,226500,49
81,Sold,17765 ESPRIT DR,ESPRIT DR,28.12980848,-82.3398623,4,2,0,2,1658,2,0,0,0,1,0,0,0,4845,1994,1,0,0,FALSE,HUNTERS GREEN,167,167,229900,138.66,4/1/2019,1,4,2019,136.85,6/6/2019,6,6,2019,None,0,0,0,226900,66
82,Sold,9305 WELLINGTON PARK CIR,WELLINGTON PARK CIR,28.13184306,-82.33734469,4,3,0,3,2537,3,0,0,0,0,0,1,0,9960,1993,0,0,1,,HUNTERS GREEN PH 1,28,28,228800,90.19,6/29/2018,29,6,2018,89.48,7/26/2018,26,7,2018,Bank Owned/REO,0,0,1,227000,27
83,Sold,9412 WILLOW COVE CT,WILLOW COVE CT,28.12791538,-82.33337815,4,2,0,2,1854,,0,0,0,1,0,0,0,4500,1994,1,0,0,,HUNTERS GREEN PH 1,40,40,245000,132.15,8/31/2018,31,8,2018,122.98,9/18/2018,18,9,2018,None,0,0,0,228000,18
84,Sold,9405  OAK MEADOW CT ,OAK MEADOW CT,28.12844749,-82.33327397,4,2,1,3,2305,2,0,0,0,1,0,0,0,4500,1994,0,0,1,,HUNTERS GREEN,328,328,233000,101.08,8/4/2016,4,8,2016,98.92,9/15/2016,15,9,2016,None,0,0,0,228000,42
85,Sold,9315  HAMPSHIRE PARK DR ,HAMPSHIRE PARK DR,28.12985831,-82.33915055,4,2,0,2,1920,3,0,0,0,1,0,0,0,8125,1995,1,1,0,,HUNTERS GREEN PH 2,57,57,228500,119.01,11/5/2015,5,11,2015,119.01,12/14/2015,14,12,2015,None,0,0,0,228500,39
